Den,Hodina,Marginální cena ČR (Kč/MWh)
2017-01-01,1,499.87
2017-01-01,2,351.26
2017-01-01,3,432.32
2017-01-01,4,443.128
2017-01-01,5,432.32
2017-01-01,6,450.423
2017-01-01,7,405.3
2017-01-01,8,389.088
2017-01-01,9,434.482
2017-01-01,10,445.019
2017-01-01,11,386.386
2017-01-01,12,499.87
2017-01-01,13,565.529
2017-01-01,14,553.91
2017-01-01,15,575.526
2017-01-01,16,717.921
2017-01-01,17,957.048
2017-01-01,18,1115.926
2017-01-01,19,1157.267
2017-01-01,20,1128.085
2017-01-01,21,1080.8
2017-01-01,22,934.892
2017-01-01,23,840.592
2017-01-01,24,540.4
2017-01-02,1,648.48
2017-01-02,2,633.619
2017-01-02,3,564.448
2017-01-02,4,539.049
2017-01-02,5,616.326
2017-01-02,6,706.573
2017-01-02,7,1053.78
2017-01-02,8,1360.187
2017-01-02,9,1540.14
2017-01-02,10,1540.14
2017-01-02,11,1585.534
2017-01-02,12,1595.531
2017-01-02,13,1585.263
2017-01-02,14,1621.47
2017-01-02,15,1655.515
2017-01-02,16,1715.5
2017-01-02,17,1811.421
2017-01-02,18,2001.912
2017-01-02,19,1810.34
2017-01-02,20,1702.26
2017-01-02,21,1540.14
2017-01-02,22,1432.06
2017-01-02,23,1267.238
2017-01-02,24,972.72
2017-01-03,1,901.387
2017-01-03,2,925.435
2017-01-03,3,875.178
2017-01-03,4,853.832
2017-01-03,5,859.236
2017-01-03,6,897.064
2017-01-03,7,1127.545
2017-01-03,8,1412.065
2017-01-03,9,1373.697
2017-01-03,10,1355.053
2017-01-03,11,1271.291
2017-01-03,12,1241.839
2017-01-03,13,1217.521
2017-01-03,14,1378.02
2017-01-03,15,1486.1
2017-01-03,16,1242.92
2017-01-03,17,1296.96
2017-01-03,18,1259.943
2017-01-03,19,1254.539
2017-01-03,20,1242.92
2017-01-03,21,903.819
2017-01-03,22,753.318
2017-01-03,23,648.48
2017-01-03,24,418.81
2017-01-04,1,255.339
2017-01-04,2,432.05
2017-01-04,3,432.05
2017-01-04,4,329.374
2017-01-04,5,254.528
2017-01-04,6,256.69
2017-01-04,7,681.715
2017-01-04,8,1103.227
2017-01-04,9,1215.9
2017-01-04,10,976.233
2017-01-04,11,985.69
2017-01-04,12,948.402
2017-01-04,13,952.995
2017-01-04,14,959.21
2017-01-04,15,999.74
2017-01-04,16,1078.098
2017-01-04,17,1338.03
2017-01-04,18,1494.206
2017-01-04,19,1365.05
2017-01-04,20,1351.0
2017-01-04,21,1124.032
2017-01-04,22,999.74
2017-01-04,23,933.271
2017-01-04,24,770.07
2017-01-05,1,924.084
2017-01-05,2,905.17
2017-01-05,3,858.696
2017-01-05,4,850.86
2017-01-05,5,918.14
2017-01-05,6,998.929
2017-01-05,7,1486.1
2017-01-05,8,1621.2
2017-01-05,9,1758.462
2017-01-05,10,1594.18
2017-01-05,11,1540.14
2017-01-05,12,1502.312
2017-01-05,13,1486.1
2017-01-05,14,1513.12
2017-01-05,15,1513.12
2017-01-05,16,1587.425
2017-01-05,17,1775.214
2017-01-05,18,1970.028
2017-01-05,19,1915.448
2017-01-05,20,1810.61
2017-01-05,21,1567.16
2017-01-05,22,1288.854
2017-01-05,23,1281.559
2017-01-05,24,1053.78
2017-01-06,1,1099.174
2017-01-06,2,1083.502
2017-01-06,3,1040.27
2017-01-06,4,1009.467
2017-01-06,5,1010.548
2017-01-06,6,1083.502
2017-01-06,7,1311.01
2017-01-06,8,1588.776
2017-01-06,9,1662.811
2017-01-06,10,1621.2
2017-01-06,11,1586.885
2017-01-06,12,1540.68
2017-01-06,13,1512.039
2017-01-06,14,1447.461
2017-01-06,15,1460.161
2017-01-06,16,1559.054
2017-01-06,17,1760.893
2017-01-06,18,1926.526
2017-01-06,19,1828.984
2017-01-06,20,1673.078
2017-01-06,21,1377.209
2017-01-06,22,1081.07
2017-01-06,23,1008.927
2017-01-06,24,859.236
2017-01-07,1,972.72
2017-01-07,2,905.17
2017-01-07,3,932.19
2017-01-07,4,918.68
2017-01-07,5,896.253
2017-01-07,6,918.68
2017-01-07,7,909.223
2017-01-07,8,918.68
2017-01-07,9,1011.629
2017-01-07,10,1105.388
2017-01-07,11,1134.84
2017-01-07,12,1161.86
2017-01-07,13,1191.582
2017-01-07,14,1111.873
2017-01-07,15,1151.052
2017-01-07,16,1242.92
2017-01-07,17,1391.53
2017-01-07,18,1564.458
2017-01-07,19,1510.418
2017-01-07,20,1367.212
2017-01-07,21,1224.006
2017-01-07,22,1122.681
2017-01-07,23,1144.297
2017-01-07,24,945.7
2017-01-08,1,921.382
2017-01-08,2,905.17
2017-01-08,3,906.521
2017-01-08,4,883.554
2017-01-08,5,891.66
2017-01-08,6,923.273
2017-01-08,7,913.276
2017-01-08,8,926.786
2017-01-08,9,970.018
2017-01-08,10,1094.31
2017-01-08,11,1188.88
2017-01-08,12,1252.107
2017-01-08,13,1226.708
2017-01-08,14,1142.406
2017-01-08,15,1086.474
2017-01-08,16,1137.542
2017-01-08,17,1301.013
2017-01-08,18,1537.438
2017-01-08,19,1550.948
2017-01-08,20,1450.704
2017-01-08,21,1323.98
2017-01-08,22,1092.689
2017-01-08,23,1164.832
2017-01-08,24,1018.654
2017-01-09,1,1042.432
2017-01-09,2,1051.618
2017-01-09,3,1037.028
2017-01-09,4,1002.982
2017-01-09,5,1038.379
2017-01-09,6,1090.257
2017-01-09,7,1450.434
2017-01-09,8,1957.059
2017-01-09,9,1899.506
2017-01-09,10,1922.743
2017-01-09,11,1837.36
2017-01-09,12,1850.87
2017-01-09,13,1837.36
2017-01-09,14,1783.86
2017-01-09,15,1743.871
2017-01-09,16,1741.169
2017-01-09,17,1891.4
2017-01-09,18,1918.15
2017-01-09,19,1853.572
2017-01-09,20,1716.04
2017-01-09,21,1495.557
2017-01-09,22,1147.269
2017-01-09,23,1058.644
2017-01-09,24,894.362
2017-01-10,1,896.794
2017-01-10,2,862.749
2017-01-10,3,811.951
2017-01-10,4,800.873
2017-01-10,5,835.188
2017-01-10,6,926.786
2017-01-10,7,1161.86
2017-01-10,8,1840.332
2017-01-10,9,1783.32
2017-01-10,10,1729.28
2017-01-10,11,1706.043
2017-01-10,12,1810.34
2017-01-10,13,1918.42
2017-01-10,14,1922.473
2017-01-10,15,1918.15
2017-01-10,16,2026.5
2017-01-10,17,1918.15
2017-01-10,18,2105.128
2017-01-10,19,1973.541
2017-01-10,20,1810.07
2017-01-10,21,1675.24
2017-01-10,22,1213.738
2017-01-10,23,1107.82
2017-01-10,24,953.806
2017-01-11,1,992.985
2017-01-11,2,961.912
2017-01-11,3,914.627
2017-01-11,4,864.64
2017-01-11,5,873.286
2017-01-11,6,979.745
2017-01-11,7,1891.4
2017-01-11,8,2302.104
2017-01-11,9,2296.7
2017-01-11,10,2053.52
2017-01-11,11,1904.64
2017-01-11,12,1608.501
2017-01-11,13,1876.269
2017-01-11,14,1910.854
2017-01-11,15,1783.32
2017-01-11,16,1891.4
2017-01-11,17,2323.72
2017-01-11,18,2393.161
2017-01-11,19,1891.4
2017-01-11,20,1837.36
2017-01-11,21,1080.8
2017-01-11,22,780.878
2017-01-11,23,675.5
2017-01-11,24,491.764
2017-01-12,1,274.523
2017-01-12,2,405.3
2017-01-12,3,352.881
2017-01-12,4,352.071
2017-01-12,5,296.95
2017-01-12,6,358.555
2017-01-12,7,1080.8
2017-01-12,8,1908.693
2017-01-12,9,2026.5
2017-01-12,10,1215.9
2017-01-12,11,1124.843
2017-01-12,12,1107.82
2017-01-12,13,1103.497
2017-01-12,14,1112.143
2017-01-12,15,1125.923
2017-01-12,16,1218.332
2017-01-12,17,2161.6
2017-01-12,18,2323.72
2017-01-12,19,1589.857
2017-01-12,20,1537.438
2017-01-12,21,1275.614
2017-01-12,22,1094.31
2017-01-12,23,1000.01
2017-01-12,24,795.469
2017-01-13,1,959.21
2017-01-13,2,920.301
2017-01-13,3,829.514
2017-01-13,4,810.6
2017-01-13,5,852.481
2017-01-13,6,894.362
2017-01-13,7,1080.8
2017-01-13,8,1405.04
2017-01-13,9,1439.896
2017-01-13,10,1369.103
2017-01-13,11,1318.036
2017-01-13,12,1322.629
2017-01-13,13,1269.94
2017-01-13,14,1296.96
2017-01-13,15,1242.92
2017-01-13,16,1283.45
2017-01-13,17,1314.793
2017-01-13,18,1486.1
2017-01-13,19,1405.04
2017-01-13,20,1323.98
2017-01-13,21,1107.82
2017-01-13,22,932.19
2017-01-13,23,837.62
2017-01-13,24,668.475
2017-01-14,1,758.722
2017-01-14,2,737.376
2017-01-14,3,711.977
2017-01-14,4,650.101
2017-01-14,5,675.5
2017-01-14,6,673.338
2017-01-14,7,707.924
2017-01-14,8,756.56
2017-01-14,9,894.362
2017-01-14,10,994.336
2017-01-14,11,1029.462
2017-01-14,12,1044.323
2017-01-14,13,988.932
2017-01-14,14,964.614
2017-01-14,15,916.789
2017-01-14,16,931.109
2017-01-14,17,1099.714
2017-01-14,18,1162.13
2017-01-14,19,1135.11
2017-01-14,20,1047.025
2017-01-14,21,932.19
2017-01-14,22,854.372
2017-01-14,23,858.696
2017-01-14,24,732.242
2017-01-15,1,756.56
2017-01-15,2,729.54
2017-01-15,3,716.03
2017-01-15,4,744.941
2017-01-15,5,730.621
2017-01-15,6,723.596
2017-01-15,7,761.964
2017-01-15,8,840.322
2017-01-15,9,961.642
2017-01-15,10,1056.482
2017-01-15,11,1094.31
2017-01-15,12,1215.9
2017-01-15,13,1156.456
2017-01-15,14,1091.608
2017-01-15,15,1079.449
2017-01-15,16,1124.302
2017-01-15,17,1388.558
2017-01-15,18,1606.879
2017-01-15,19,1729.28
2017-01-15,20,1586.614
2017-01-15,21,1399.636
2017-01-15,22,1151.052
2017-01-15,23,1181.044
2017-01-15,24,1026.76
2017-01-16,1,1034.866
2017-01-16,2,1067.29
2017-01-16,3,1078.098
