Den,Hodina,Marginální cena ČR (Kč/MWh)
01.01.2011,1,858.305
01.01.2011,2,595.676
01.01.2011,3,420.757
01.01.2011,4,273.906
01.01.2011,5,240.576
01.01.2011,6,200.48
01.01.2011,7,25.06
01.01.2011,8,0.251
01.01.2011,9,0.251
01.01.2011,10,275.66
01.01.2011,11,511.224
01.01.2011,12,626.5
01.01.2011,13,801.92
01.01.2011,14,732.754
01.01.2011,15,826.98
01.01.2011,16,901.909
01.01.2011,17,1085.349
01.01.2011,18,1422.907
01.01.2011,19,1422.155
01.01.2011,20,1460.246
01.01.2011,21,1285.077
01.01.2011,22,1000.896
01.01.2011,23,1160.027
01.01.2011,24,902.16
02.01.2011,1,0.251
02.01.2011,2,0.251
02.01.2011,3,25.06
02.01.2011,4,50.12
02.01.2011,5,50.12
02.01.2011,6,50.12
02.01.2011,7,50.12
02.01.2011,8,50.12
02.01.2011,9,50.12
02.01.2011,10,526.26
02.01.2011,11,1101.387
02.01.2011,12,951.779
02.01.2011,13,726.74
02.01.2011,14,801.419
02.01.2011,15,726.74
02.01.2011,16,1053.773
02.01.2011,17,1260.267
02.01.2011,18,1542.192
02.01.2011,19,1640.177
02.01.2011,20,1598.327
02.01.2011,21,1497.084
02.01.2011,22,1190.35
02.01.2011,23,1167.796
02.01.2011,24,576.38
03.01.2011,1,478.873
03.01.2011,2,0.251
03.01.2011,3,627.125
03.01.2011,4,627.125
03.01.2011,5,677.295
03.01.2011,6,952.728
03.01.2011,7,1103.74
03.01.2011,8,1204.08
03.01.2011,9,1429.343
03.01.2011,10,1605.44
03.01.2011,11,1639.054
03.01.2011,12,1648.085
03.01.2011,13,1675.678
03.01.2011,14,1768.994
03.01.2011,15,1675.176
03.01.2011,16,1705.78
03.01.2011,17,1831.205
03.01.2011,18,2207.48
03.01.2011,19,2182.395
03.01.2011,20,1931.545
03.01.2011,21,1680.695
03.01.2011,22,1404.76
03.01.2011,23,1229.165
03.01.2011,24,795.445
04.01.2011,1,1224.84
04.01.2011,2,1147.945
04.01.2011,3,1113.604
04.01.2011,4,1045.17
04.01.2011,5,1056.617
04.01.2011,6,1195.973
04.01.2011,7,1383.357
04.01.2011,8,1622.502
04.01.2011,9,1662.318
04.01.2011,10,1542.87
04.01.2011,11,1542.87
04.01.2011,12,1543.865
04.01.2011,13,1556.557
04.01.2011,14,1668.042
04.01.2011,15,1613.046
04.01.2011,16,1630.465
04.01.2011,17,1775.545
04.01.2011,18,1927.343
04.01.2011,19,1950.984
04.01.2011,20,1782.015
04.01.2011,21,1525.451
04.01.2011,22,1357.974
04.01.2011,23,1331.348
04.01.2011,24,1244.25
05.01.2011,1,746.1
05.01.2011,2,596.88
05.01.2011,3,892.336
05.01.2011,4,820.71
05.01.2011,5,943.568
05.01.2011,6,1069.41
05.01.2011,7,1239.272
05.01.2011,8,1144.02
05.01.2011,9,1367.85
05.01.2011,10,1491.454
05.01.2011,11,1442.46
05.01.2011,12,1439.227
05.01.2011,13,1491.454
05.01.2011,14,1541.94
05.01.2011,15,1492.2
05.01.2011,16,1543.93
05.01.2011,17,1684.943
05.01.2011,18,1823.468
05.01.2011,19,1803.075
05.01.2011,20,1703.595
05.01.2011,21,1391.974
05.01.2011,22,1199.978
05.01.2011,23,1144.02
05.01.2011,24,945.06
06.01.2011,1,938.98
06.01.2011,2,790.72
06.01.2011,3,729.439
06.01.2011,4,642.46
06.01.2011,5,593.04
06.01.2011,6,742.536
06.01.2011,7,988.4
06.01.2011,8,1070.437
06.01.2011,9,1210.79
06.01.2011,10,1260.21
06.01.2011,11,1334.34
06.01.2011,12,1300.982
06.01.2011,13,1332.363
06.01.2011,14,1358.556
06.01.2011,15,1286.156
06.01.2011,16,1319.267
06.01.2011,17,1481.117
06.01.2011,18,1632.096
06.01.2011,19,1652.605
06.01.2011,20,1501.133
06.01.2011,21,1417.119
06.01.2011,22,1270.341
06.01.2011,23,1210.79
06.01.2011,24,1062.53
07.01.2011,1,908.905
07.01.2011,2,712.385
07.01.2011,3,795.906
07.01.2011,4,609.949
07.01.2011,5,646.06
07.01.2011,6,880.164
07.01.2011,7,1126.305
07.01.2011,8,1375.64
07.01.2011,9,1229.97
07.01.2011,10,1478.813
07.01.2011,11,1523.03
07.01.2011,12,1461.863
07.01.2011,13,1363.358
07.01.2011,14,1437.053
07.01.2011,15,1392.836
07.01.2011,16,1384.729
07.01.2011,17,1462.6
07.01.2011,18,1633.573
07.01.2011,19,1609.008
07.01.2011,20,1422.314
07.01.2011,21,1366.06
07.01.2011,22,1169.54
07.01.2011,23,1149.151
07.01.2011,24,982.6
08.01.2011,1,994.883
08.01.2011,2,855.353
08.01.2011,3,749.969
08.01.2011,4,711.402
08.01.2011,5,700.594
08.01.2011,6,746.776
08.01.2011,7,700.103
08.01.2011,8,880.901
08.01.2011,9,1020.676
08.01.2011,10,1162.907
08.01.2011,11,1190.174
08.01.2011,12,1219.161
08.01.2011,13,1189.683
08.01.2011,14,1080.86
08.01.2011,15,994.883
08.01.2011,16,982.6
08.01.2011,17,1049.417
08.01.2011,18,1216.459
08.01.2011,19,1191.403
08.01.2011,20,1166.838
08.01.2011,21,1115.251
08.01.2011,22,1044.013
08.01.2011,23,1016.745
08.01.2011,24,884.34
09.01.2011,1,0.246
